episode_id,start_timestamp,end_timestamp,duration_hours,anomaly_hours,episode_direction,episode_context,maximum_severity,peak_timestamp,maximum_absolute_modified_z_score,actual_total,forecast_total,total_residual,forecast_to_actual_ratio,minimum_forecast,rainfall_total_mm,maximum_hourly_rainfall_mm,mean_temperature_c,mean_humidity_percent,holiday_values,functioning_day_values
1,2018-09-14 22:00:00,2018-09-14 22:00:00,1,1,negative,other_residual_episode,moderate,2018-09-14 22:00:00,4.514911675201232,567.0,1993.1148288413783,-1426.1148288413783,3.5151937016602792,1993.1148288413783,0.0,0.0,24.0,73.0,No Holiday,Yes
2,2018-09-15 11:00:00,2018-09-15 14:00:00,4,4,positive,forecast_floor_positive_episode,moderate,2018-09-15 14:00:00,4.753218908932172,5435.0,0.0,5435.0,0.0,0.0,0.0,0.0,25.525,64.75,No Holiday,Yes
3,2018-09-15 16:00:00,2018-09-15 23:00:00,8,8,positive,forecast_floor_positive_episode,high,2018-09-15 21:00:00,5.507423120470002,11990.0,0.0,11990.0,0.0,0.0,0.0,0.0,23.7,77.875,No Holiday,Yes
4,2018-09-16 21:00:00,2018-09-16 21:00:00,1,1,positive,forecast_floor_positive_episode,moderate,2018-09-16 21:00:00,3.569237642214105,1146.0,42.48265532185763,1103.5173446781423,0.03707037986200491,42.48265532185763,0.0,0.0,21.2,88.0,No Holiday,Yes
5,2018-09-17 07:00:00,2018-09-17 08:00:00,2,2,positive,other_residual_episode,high,2018-09-17 08:00:00,6.623412768348276,3763.0,372.28942827085496,3390.710571729145,0.09893420894787536,155.49664943215106,0.0,0.0,18.7,82.5,No Holiday,Yes
6,2018-09-17 12:00:00,2018-09-17 12:00:00,1,1,positive,forecast_floor_positive_episode,moderate,2018-09-17 12:00:00,3.5036687110029687,1083.0,0.0,1083.0,0.0,0.0,0.0,0.0,25.2,50.0,No Holiday,Yes
7,2018-09-17 14:00:00,2018-09-17 23:00:00,10,10,positive,forecast_floor_positive_episode,extreme,2018-09-17 18:00:00,10.299451522339217,19056.0,67.51393834677906,18988.48606165322,0.0035429228771399588,0.0,0.0,0.0,24.15,53.6,No Holiday,Yes
8,2018-09-21 08:00:00,2018-09-21 08:00:00,1,1,negative,rain_coincident_negative_episode,moderate,2018-09-21 08:00:00,3.706326540723405,127.0,1300.098352908858,-1173.098352908858,10.236994904794157,1300.098352908858,4.0,4.0,17.8,97.0,No Holiday,Yes
9,2018-09-24 08:00:00,2018-09-24 08:00:00,1,1,negative,other_residual_episode,high,2018-09-24 08:00:00,5.362489739403176,296.0,1987.332683756029,-1691.332683756029,6.713961769446044,1987.332683756029,0.0,0.0,15.4,52.0,Holiday,Yes
10,2018-09-24 18:00:00,2018-09-24 18:00:00,1,1,negative,other_residual_episode,moderate,2018-09-24 18:00:00,3.973984550512098,1237.0,2493.851916391794,-1256.851916391794,2.0160484368567455,2493.851916391794,0.0,0.0,20.3,35.0,Holiday,Yes
11,2018-09-25 08:00:00,2018-09-25 08:00:00,1,1,negative,other_residual_episode,moderate,2018-09-25 08:00:00,3.715297433365503,440.0,1615.905458240739,-1175.905458240739,3.672512405092589,1615.905458240739,0.0,0.0,12.0,61.0,Holiday,Yes
12,2018-10-05 08:00:00,2018-10-05 09:00:00,2,2,negative,rain_coincident_negative_episode,moderate,2018-10-05 08:00:00,4.58726170378726,255.0,2858.064739581846,-2603.064739581846,11.208097017968024,1201.310675258757,1.5,1.2,16.6,78.5,No Holiday,Yes
13,2018-10-05 12:00:00,2018-10-05 23:00:00,12,12,negative,rain_coincident_negative_episode,extreme,2018-10-05 18:00:00,8.03375438499415,396.0,20521.178669328976,-20125.178669328976,51.82115825588125,1166.0400547428774,31.0,6.0,16.724999999999998,94.75,No Holiday,Yes
14,2018-10-07 13:00:00,2018-10-07 20:00:00,8,8,positive,other_residual_episode,high,2018-10-07 16:00:00,5.45063979109885,15589.0,4337.249636803153,11251.750363196847,0.27822500717192594,371.5994082754307,0.0,0.0,18.85,35.875,No Holiday,Yes
15,2018-10-08 08:00:00,2018-10-08 08:00:00,1,1,positive,other_residual_episode,moderate,2018-10-08 08:00:00,3.827108486911844,2005.0,820.7916191042567,1184.2083808957432,0.4093723786056143,820.7916191042567,0.0,0.0,9.9,66.0,No Holiday,Yes
16,2018-10-08 18:00:00,2018-10-08 18:00:00,1,1,positive,other_residual_episode,moderate,2018-10-08 18:00:00,4.575729562924932,2787.0,1368.538652551806,1418.461347448194,0.49104365000064804,1368.538652551806,0.0,0.0,18.1,39.0,No Holiday,Yes
17,2018-10-11 08:00:00,2018-10-11 08:00:00,1,1,positive,other_residual_episode,moderate,2018-10-11 08:00:00,4.094314368450762,2000.0,732.1795322470336,1267.8204677529664,0.36608976612351685,732.1795322470336,0.0,0.0,7.0,56.0,No Holiday,Yes
18,2018-10-11 18:00:00,2018-10-11 18:00:00,1,1,positive,other_residual_episode,moderate,2018-10-11 18:00:00,4.534695767186103,2378.0,972.378644222786,1405.621355777214,0.40890607410546087,972.378644222786,0.0,0.0,12.1,40.0,No Holiday,Yes
19,2018-10-12 17:00:00,2018-10-12 20:00:00,4,4,positive,other_residual_episode,high,2018-10-12 18:00:00,6.278596451434169,7764.0,1961.7875126001504,5802.212487399849,0.2526774230551456,310.82840108563994,0.0,0.0,13.825,47.0,No Holiday,Yes
20,2018-10-12 22:00:00,2018-10-12 22:00:00,1,1,positive,other_residual_episode,moderate,2018-10-12 22:00:00,3.6326329003496345,1347.0,223.6454803351539,1123.354519664846,0.1660322793876421,223.6454803351539,0.0,0.0,10.5,62.0,No Holiday,Yes
21,2018-10-26 08:00:00,2018-10-26 08:00:00,1,1,negative,rain_coincident_negative_episode,moderate,2018-10-26 08:00:00,4.033443430252834,556.0,1831.4573489843835,-1275.457348984383,3.293988037741697,1831.4573489843835,0.5,0.5,12.1,81.0,No Holiday,Yes
22,2018-10-26 21:00:00,2018-10-26 21:00:00,1,1,negative,other_residual_episode,moderate,2018-10-26 21:00:00,3.6917208027904014,542.0,1710.5280334921042,-1168.5280334921042,3.155955781350746,1710.5280334921042,0.0,0.0,10.6,70.0,No Holiday,Yes
23,2018-10-27 13:00:00,2018-10-27 17:00:00,5,5,positive,forecast_floor_positive_episode,moderate,2018-10-27 16:00:00,4.222719336409799,6039.0,0.0,6039.0,0.0,0.0,0.0,0.0,10.58,35.2,No Holiday,Yes
24,2018-10-29 08:00:00,2018-10-29 08:00:00,1,1,positive,other_residual_episode,high,2018-10-29 08:00:00,5.191188312462759,1888.0,276.9538556640186,1611.0461443359814,0.1466916608389929,276.9538556640186,0.0,0.0,5.1,67.0,No Holiday,Yes
25,2018-10-29 17:00:00,2018-10-29 19:00:00,3,3,positive,forecast_floor_positive_episode,high,2018-10-29 18:00:00,6.389733808005352,4638.0,0.9138696484223736,4637.086130351578,0.00019703959646881708,0.0,0.0,0.0,9.166666666666666,49.0,No Holiday,Yes
26,2018-10-30 08:00:00,2018-10-30 08:00:00,1,1,positive,other_residual_episode,high,2018-10-30 08:00:00,5.389600691529767,1883.0,209.8681224587685,1673.1318775412317,0.11145412769982396,209.8681224587685,0.0,0.0,1.4,58.0,No Holiday,Yes
27,2018-10-30 16:00:00,2018-10-30 21:00:00,6,6,positive,forecast_floor_positive_episode,high,2018-10-30 18:00:00,6.598548347942237,8316.0,22.57316925028755,8293.426830749711,0.0027144263167733947,0.0,0.0,0.0,8.75,48.666666666666664,No Holiday,Yes
28,2018-10-31 08:00:00,2018-10-31 08:00:00,1,1,positive,other_residual_episode,high,2018-10-31 08:00:00,5.451844027728295,1907.0,214.39139835920315,1692.608601640797,0.11242338665925702,214.39139835920315,0.0,0.0,3.7,67.0,No Holiday,Yes
29,2018-10-31 16:00:00,2018-10-31 20:00:00,5,5,positive,forecast_floor_positive_episode,high,2018-10-31 18:00:00,6.721901435410096,7424.0,3.974434057525354,7420.025565942475,0.0005353494150761522,0.0,0.0,0.0,9.7,47.0,No Holiday,Yes
30,2018-10-31 22:00:00,2018-10-31 22:00:00,1,1,positive,forecast_floor_positive_episode,moderate,2018-10-31 22:00:00,3.5196476137897874,1088.0,0.0,1088.0,0.0,0.0,0.0,0.0,6.8,58.0,No Holiday,Yes
31,2018-11-01 08:00:00,2018-11-01 08:00:00,1,1,positive,other_residual_episode,high,2018-11-01 08:00:00,5.455373278789916,1899.0,205.28705123702983,1693.7129487629702,0.108102712605071,205.28705123702983,0.0,0.0,2.8,74.0,No Holiday,Yes
32,2018-11-01 15:00:00,2018-11-01 22:00:00,8,8,positive,forecast_floor_positive_episode,high,2018-11-01 18:00:00,7.233226324588287,11265.0,3.974434057525354,11261.025565942475,0.00035281261052155826,0.0,0.0,0.0,11.625,44.875,No Holiday,Yes
33,2018-11-02 08:00:00,2018-11-02 08:00:00,1,1,positive,other_residual_episode,high,2018-11-02 08:00:00,5.776665298502799,1906.0,111.7507303145674,1794.2492696854326,0.058631023250035365,111.7507303145674,0.0,0.0,4.7,72.0,No Holiday,Yes
34,2018-11-02 13:00:00,2018-11-02 22:00:00,10,10,positive,forecast_floor_positive_episode,high,2018-11-02 18:00:00,7.355754789476352,14071.0,25.633733659390515,14045.36626634061,0.0018217421405294944,0.0,0.0,0.0,14.88,40.7,No Holiday,Yes
35,2018-11-08 08:00:00,2018-11-08 08:00:00,1,1,negative,other_residual_episode,high,2018-11-08 08:00:00,5.194358575853465,148.0,1786.7223243988117,-1638.7223243988117,12.07244813782981,1786.7223243988117,0.0,0.0,10.6,89.0,No Holiday,Yes
36,2018-11-08 16:00:00,2018-11-08 21:00:00,6,6,negative,rain_coincident_negative_episode,high,2018-11-08 18:00:00,6.330967489349793,136.0,8871.862712515174,-8735.862712515174,65.23428465084687,1146.5462253975438,27.0,18.0,12.866666666666665,96.66666666666667,No Holiday,Yes
37,2018-11-13 08:00:00,2018-11-13 08:00:00,1,1,positive,other_residual_episode,moderate,2018-11-13 08:00:00,3.676747275457209,1910.0,772.841536567511,1137.158463432489,0.4046290767369167,772.841536567511,0.0,0.0,4.7,68.0,No Holiday,Yes
