timestamp,mean,naive,seasonal_naive_24,seasonal_naive_168
2018-12-01 00:00:00,704.6020547945205,584.0,474.0,499.0
2018-12-01 01:00:00,704.6020547945205,584.0,456.0,507.0
2018-12-01 02:00:00,704.6020547945205,584.0,300.0,335.0
2018-12-01 03:00:00,704.6020547945205,584.0,213.0,272.0
2018-12-01 04:00:00,704.6020547945205,584.0,116.0,151.0
2018-12-01 05:00:00,704.6020547945205,584.0,149.0,95.0
2018-12-01 06:00:00,704.6020547945205,584.0,293.0,79.0
2018-12-01 07:00:00,704.6020547945205,584.0,750.0,30.0
2018-12-01 08:00:00,704.6020547945205,584.0,1527.0,33.0
2018-12-01 09:00:00,704.6020547945205,584.0,809.0,24.0
2018-12-01 10:00:00,704.6020547945205,584.0,554.0,62.0
2018-12-01 11:00:00,704.6020547945205,584.0,642.0,114.0
2018-12-01 12:00:00,704.6020547945205,584.0,720.0,167.0
2018-12-01 13:00:00,704.6020547945205,584.0,740.0,241.0
2018-12-01 14:00:00,704.6020547945205,584.0,761.0,298.0
2018-12-01 15:00:00,704.6020547945205,584.0,768.0,330.0
2018-12-01 16:00:00,704.6020547945205,584.0,837.0,436.0
2018-12-01 17:00:00,704.6020547945205,584.0,1047.0,435.0
2018-12-01 18:00:00,704.6020547945205,584.0,1384.0,426.0
2018-12-01 19:00:00,704.6020547945205,584.0,1003.0,420.0
2018-12-01 20:00:00,704.6020547945205,584.0,764.0,349.0
2018-12-01 21:00:00,704.6020547945205,584.0,694.0,392.0
2018-12-01 22:00:00,704.6020547945205,584.0,712.0,396.0
2018-12-01 23:00:00,704.6020547945205,584.0,584.0,386.0
