timestamp,holt_winters_24
2018-12-01 00:00:00,376.0930067288914
2018-12-01 01:00:00,198.21869100014698
2018-12-01 02:00:00,-52.35393414272261
2018-12-01 03:00:00,-232.05896234121025
2018-12-01 04:00:00,-362.52127131544916
2018-12-01 05:00:00,-383.96618167592095
2018-12-01 06:00:00,-249.71051080006902
2018-12-01 07:00:00,163.01029005198694
2018-12-01 08:00:00,817.95769162699
2018-12-01 09:00:00,197.9463785019338
2018-12-01 10:00:00,140.24328260486504
2018-12-01 11:00:00,306.2662692728063
2018-12-01 12:00:00,465.1912392529721
2018-12-01 13:00:00,552.3846850340495
2018-12-01 14:00:00,620.666838411664
2018-12-01 15:00:00,703.5601341908426
2018-12-01 16:00:00,836.8919604973735
2018-12-01 17:00:00,1094.0175178775055
2018-12-01 18:00:00,1511.6292534014597
2018-12-01 19:00:00,1093.7073099868765
2018-12-01 20:00:00,927.6359575571876
2018-12-01 21:00:00,911.3889647146848
2018-12-01 22:00:00,847.9790834454245
2018-12-01 23:00:00,560.8161554960616
