fold,model,training_start,training_end,test_start,test_end,timestamp,actual,forecast,residual,absolute_residual,fold_raw_negative_forecast_count,is_known_closure
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 00:00:00,1107.0,1101.3020926643894,5.69790733561058,5.69790733561058,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 01:00:00,1001.0,933.3131876414898,67.68681235851022,67.68681235851022,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 02:00:00,692.0,659.5738796577924,32.42612034220758,32.42612034220758,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 03:00:00,504.0,434.81285369200214,69.18714630799786,69.18714630799786,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 04:00:00,285.0,288.42499505736265,-3.4249950573626506,3.4249950573626506,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 05:00:00,227.0,300.65466546455434,-73.65466546455434,73.65466546455434,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 06:00:00,322.0,532.5804272264795,-210.58042722647951,210.58042722647951,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 07:00:00,511.0,959.300888707826,-448.30088870782595,448.30088870782595,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 08:00:00,827.0,1658.797235996793,-831.797235996793,831.797235996793,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 09:00:00,956.0,1247.7818993898352,-291.7818993898352,291.7818993898352,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 10:00:00,1096.0,1041.6934954340363,54.30650456596368,54.30650456596368,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 11:00:00,1179.0,1057.5645911014017,121.43540889859833,121.43540889859833,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 12:00:00,1273.0,1161.7652395391592,111.23476046084079,111.23476046084079,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 13:00:00,1505.0,1148.834282820632,356.1657171793679,356.1657171793679,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 14:00:00,1554.0,1200.0029942822835,353.99700571771655,353.99700571771655,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 15:00:00,1792.0,1410.570906263136,381.42909373686393,381.42909373686393,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 16:00:00,1943.0,1741.7878837418755,201.21211625812452,201.21211625812452,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 17:00:00,2167.0,2121.663980631611,45.33601936838886,45.33601936838886,0,False
1,gradient_boosting_recursive,2017-12-01 00:00:00,2018-09-07 23:00:00,2018-09-08 00:00:00,2018-09-14 23:00:00,2018-09-08 18:00:00,2255.0,2415.136503296228,-160.13650329622806,160.13650329622806,0,False
