timestamp,gradient_boosting_recursive
2018-12-01 00:00:00,458.6495582017219
2018-12-01 01:00:00,367.47173483995476
2018-12-01 02:00:00,237.27757679139395
2018-12-01 03:00:00,169.59445622055497
2018-12-01 04:00:00,126.95269470801819
2018-12-01 05:00:00,107.85659903497579
2018-12-01 06:00:00,201.12948603277474
2018-12-01 07:00:00,346.3347105201182
2018-12-01 08:00:00,463.801607232634
2018-12-01 09:00:00,475.34253854874447
2018-12-01 10:00:00,462.3690301875191
2018-12-01 11:00:00,531.9289857456903
2018-12-01 12:00:00,596.270340072319
2018-12-01 13:00:00,665.7199913931635
2018-12-01 14:00:00,692.9616885649657
2018-12-01 15:00:00,751.5534536184713
2018-12-01 16:00:00,858.8239119726413
2018-12-01 17:00:00,991.9625254201964
2018-12-01 18:00:00,1114.64173443956
2018-12-01 19:00:00,939.4573530590725
2018-12-01 20:00:00,782.3191153998042
2018-12-01 21:00:00,610.4767633782484
2018-12-01 22:00:00,463.0891196998118
2018-12-01 23:00:00,360.31262120310754
